衡量行业,颜色,市场,ETF代码,ETF名称,分类依据
资源周期,#92400E,SZ,159171,工业有色ETF博时,名称关键词
资源周期,#92400E,SZ,159181,石油ETF易方达,名称关键词
资源周期,#92400E,SZ,159189,石油ETF华夏,名称关键词
资源周期,#92400E,SZ,159195,石油ETF华安,名称关键词
资源周期,#92400E,SZ,159197,石油ETF招商,名称关键词
资源周期,#92400E,SZ,159199,石油ETF平安,名称关键词
资源周期,#92400E,SZ,159309,油气ETF汇添富,名称关键词
资源周期,#92400E,SZ,159588,石油ETF景顺,名称关键词
资源周期,#92400E,SZ,159652,有色ETF汇添富,名称关键词
资源周期,#92400E,SZ,159690,有色矿业ETF招商,名称关键词
资源周期,#92400E,SZ,159693,有色矿业ETF,名称关键词
资源周期,#92400E,SZ,159697,石油ETF鹏华,名称关键词
资源周期,#92400E,SZ,159703,新材料ETF天弘,名称关键词
资源周期,#92400E,SZ,159713,稀土ETF富国,名称关键词
资源周期,#92400E,SZ,159715,稀土ETF易方达,名称关键词
资源周期,#92400E,SZ,159761,新材料ETF国泰,名称关键词
资源周期,#92400E,SZ,159763,新材料ETF建信,名称关键词
资源周期,#92400E,SZ,159870,化工ETF鹏华,名称关键词
资源周期,#92400E,SZ,159871,有色ETF银华,名称关键词
资源周期,#92400E,SZ,159876,有色ETF华宝,名称关键词
资源周期,#92400E,SZ,159880,有色ETF鹏华,名称关键词
资源周期,#92400E,SZ,159881,有色金属ETF国泰,名称关键词
资源周期,#92400E,SZ,159944,材料ETF广发,名称关键词
资源周期,#92400E,SZ,159980,有色ETF大成,名称关键词
资源周期,#92400E,SZ,159981,能源化工ETF建信,名称关键词
金融,#7C3AED,SH,510200,上证券商,名称关键词
金融,#7C3AED,SH,510230,金融ETF,名称关键词
金融,#7C3AED,SH,510650,金融行业,名称关键词
金融,#7C3AED,SH,512000,券商ETF,人工映射
金融,#7C3AED,SH,512070,证券保险,名称关键词
金融,#7C3AED,SH,512410,银行广发,名称关键词
金融,#7C3AED,SH,512570,中证证券,名称关键词
金融,#7C3AED,SH,512640,金融地产,名称关键词
金融,#7C3AED,SH,512700,银行基金,名称关键词
金融,#7C3AED,SH,512730,银行FUND,名称关键词
金融,#7C3AED,SH,512800,银行ETF,人工映射
金融,#7C3AED,SH,512820,银行股基,名称关键词
金融,#7C3AED,SH,512880,证券ETF,人工映射
金融,#7C3AED,SH,512900,证券基金,名称关键词
金融,#7C3AED,SH,513090,香港证券,名称关键词
金融,#7C3AED,SH,515010,华夏证券,名称关键词
金融,#7C3AED,SH,515020,银行指数,名称关键词
金融,#7C3AED,SH,515280,银行龙头,名称关键词
金融,#7C3AED,SH,515290,银行,名称关键词
金融,#7C3AED,SH,515560,证券E,名称关键词
金融,#7C3AED,SH,515630,保险证券,名称关键词
金融,#7C3AED,SH,515850,证券龙头,名称关键词
金融,#7C3AED,SH,516100,科技金融,名称关键词
金融,#7C3AED,SH,516200,证券行业,名称关键词
金融,#7C3AED,SH,516210,银行股,名称关键词
金融,#7C3AED,SH,516310,银行指基,名称关键词
金融,#7C3AED,SH,516730,证券公司,名称关键词
金融,#7C3AED,SH,516860,金融科技,名称关键词
金融,#7C3AED,SH,516980,证券先锋,名称关键词
金融,#7C3AED,SH,517900,银行优选,名称关键词
金融,#7C3AED,SH,560090,证券指数,名称关键词
金融,#7C3AED,SH,560400,证券华泰,名称关键词
金融,#7C3AED,SH,560670,中证银行,名称关键词
金融,#7C3AED,SH,561530,银华银行,名称关键词
金融,#7C3AED,SH,562870,证券全指,名称关键词
金融,#7C3AED,SH,563570,金融科,名称关键词
金融,#7C3AED,SZ,159008,证券ETF景顺,名称关键词
金融,#7C3AED,SZ,159016,证券ETF广发,名称关键词
金融,#7C3AED,SZ,159058,证券ETF大成,名称关键词
金融,#7C3AED,SZ,159086,金融科技ETF广发,名称关键词
金融,#7C3AED,SZ,159103,金融科技ETF汇添富,名称关键词
金融,#7C3AED,SZ,159253,银行ETF博时,名称关键词
金融,#7C3AED,SZ,159260,证券ETF博时,名称关键词
金融,#7C3AED,SZ,159299,金融科技ETF易方达,名称关键词
金融,#7C3AED,SZ,159692,证券ETF东财,名称关键词
金融,#7C3AED,SZ,159841,证券ETF天弘,名称关键词
金融,#7C3AED,SZ,159842,券商ETF银华,名称关键词
金融,#7C3AED,SZ,159848,证券ETF国联安,名称关键词
金融,#7C3AED,SZ,159851,金融科技ETF华宝,名称关键词
金融,#7C3AED,SZ,159887,银行ETF富国,名称关键词
金融,#7C3AED,SZ,159931,金融地产ETF汇添富,名称关键词
金融,#7C3AED,SZ,159933,金融地产ETF国投瑞银,名称关键词
金融,#7C3AED,SZ,159940,金融地产ETF广发,名称关键词
金融,#7C3AED,SZ,159993,证券ETF鹏华,名称关键词
高端制造,#4F46E5,SH,512420,机械华安,名称关键词
高端制造,#4F46E5,SH,515970,华夏机械,名称关键词
高端制造,#4F46E5,SH,516250,富国机械,名称关键词
高端制造,#4F46E5,SH,516440,南方机械,名称关键词
高端制造,#4F46E5,SH,516800,智能制造,名称关键词
高端制造,#4F46E5,SH,516960,机械ETF,名称关键词
高端制造,#4F46E5,SH,560280,工程机械,名称关键词
高端制造,#4F46E5,SH,560920,招商机械,名称关键词
高端制造,#4F46E5,SH,561030,机械华泰,名称关键词
高端制造,#4F46E5,SH,588850,科创机械,名称关键词
高端制造,#4F46E5,SZ,158005,工程机械ETF博时,名称关键词
高端制造,#4F46E5,SZ,159065,工程机械ETF景顺,名称关键词
高端制造,#4F46E5,SZ,159070,工程机械ETF嘉实,名称关键词
高端制造,#4F46E5,SZ,159138,工程机械ETF易方达,名称关键词
高端制造,#4F46E5,SZ,159161,工程机械ETF东财,名称关键词
高端制造,#4F46E5,SZ,159177,工程机械ETF鹏华,名称关键词
高端制造,#4F46E5,SZ,159542,工程机械ETF大成,名称关键词
高端制造,#4F46E5,SZ,159663,机床ETF华夏,名称关键词
高端制造,#4F46E5,SZ,159667,工业母机ETF国泰,名称关键词
高端制造,#4F46E5,SZ,159886,机械ETF富国,名称关键词
