date,plot_industry,shares,change_pct_from_start
2026-06-22,农业,7546739993.0,12.428581446890764
2026-06-22,医药医疗,286117940494.0,2.2810232192922664
2026-06-22,地产基建,7095016012.0,-11.276433481320169
2026-06-22,新能源,63184790823.0,-5.331142855446003
2026-06-22,汽车,1746400128.0,-11.637319626807873
2026-06-22,消费,116978146306.0,0.4590920239230245
2026-06-22,科技,239860338068.0,0.6589430648557437
2026-06-22,资源周期,109209347932.0,-3.0449982755299865
2026-06-22,金融,229993263613.0,-0.9067837727905426
2026-06-22,高端制造,7497597011.0,50.16628159372889
2026-06-23,公用事业,20333502220.0,5.216124874642647
2026-06-23,军工,32298971779.0,-2.3255130527489953
2026-06-23,农业,7481239993.0,11.45278632322122
2026-06-23,医药医疗,286315140494.0,2.351517987093321
2026-06-23,地产基建,7092766012.0,-11.304569855407198
2026-06-23,新能源,63435290823.0,-4.95582233280405
2026-06-23,汽车,1739900128.0,-11.96620039886984
2026-06-23,消费,116772046306.0,0.282096409614252
2026-06-23,科技,241045953568.0,1.1564942818371726
2026-06-23,资源周期,109402747932.0,-2.8732996280370293
2026-06-23,金融,225727063613.0,-2.7448875173413767
2026-06-23,高端制造,7439797011.0,49.008629206786324
2026-06-24,公用事业,20100402220.0,4.0099441369163324
2026-06-24,军工,32188971779.0,-2.6581612137404065
2026-06-24,农业,7461239993.0,11.154833613703797
2026-06-24,医药医疗,285598040494.0,2.095170127102719
2026-06-24,地产基建,7056016012.0,-11.764130632161852
2026-06-24,新能源,63292790823.0,-5.169328019336894
2026-06-24,汽车,1742400128.0,-11.839707794230625
2026-06-24,消费,117123746306.0,0.5841311381556968
2026-06-24,科技,241830553568.0,1.4857567491747048
2026-06-24,资源周期,108510547932.0,-3.665386149718608
2026-06-24,金融,227622263613.0,-1.9283354999317992
2026-06-24,高端制造,7449797011.0,49.20891508688019
2026-06-25,公用事业,19703102220.0,1.954107126626048
2026-06-25,军工,32018371779.0,-3.174068270696162
2026-06-25,农业,7428739993.0,10.670660460737992
2026-06-25,医药医疗,285817240494.0,2.1735294227517965
2026-06-25,地产基建,6965766012.0,-12.892711859430106
2026-06-25,新能源,62808790823.0,-5.894498210788813
2026-06-25,汽车,1726400128.0,-12.649260463921607
2026-06-25,消费,116394546306.0,-0.04209497515798022
2026-06-25,科技,250056636170.0,4.937885546086407
2026-06-25,资源周期,107462297515.0,-4.5960127207260175
2026-06-25,金融,227784463613.0,-1.8584511936718617
2026-06-25,高端制造,7906514712.0,58.35632575680349
2026-06-26,公用事业,19550302220.0,1.163440388210879
2026-06-26,军工,31833571779.0,-3.732917181161721
2026-06-26,农业,7304739993.0,8.823353661729993
2026-06-26,医药医疗,286264040494.0,2.33325083377367
2026-06-26,地产基建,6958516012.0,-12.98337350926606
2026-06-26,新能源,62439790823.0,-6.447365567494911
2026-06-26,汽车,1718400128.0,-13.054036798767099
2026-06-26,消费,115828846306.0,-0.5279097204974548
2026-06-26,科技,255972735070.0,7.420614733987119
2026-06-26,资源周期,106489197515.0,-5.459921479130358
2026-06-26,金融,231324363613.0,-0.3332757576080425
2026-06-26,高端制造,7780814712.0,55.83873224402358
2026-06-29,公用事业,19551002220.0,1.167062552588427
2026-06-29,军工,31806171779.0,-3.81577681399049
2026-06-29,农业,7299239993.0,8.741416666612722
2026-06-29,医药医疗,282558540494.0,1.0086141091952827
2026-06-29,地产基建,6950016012.0,-13.089666478039252
2026-06-29,新能源,62247290823.0,-6.735785530004201
2026-06-29,汽车,1714400128.0,-13.25642496618984
2026-06-29,消费,115598246306.0,-0.725945570374209
2026-06-29,科技,258820685070.0,8.615775381264633
2026-06-29,资源周期,106197897515.0,-5.718534798751341
2026-06-29,金融,232735063613.0,0.27452813166997103
