market,code,name,industry,plot_industry,classification_rule
SH,530580,180基金,,待人工确认,名称关键词
SH,530530,580ETF,,待人工确认,名称关键词
SZ,159931,金融地产ETF汇添富,,金融,名称关键词
SH,530380,上证380,,待人工确认,名称关键词
SH,530300,180指数,,待人工确认,名称关键词
SH,530280,180ETF指,,待人工确认,名称关键词
SH,530180,上证180,,宽基/综合指数,宽基关键词/人工映射
SH,530100,上证580,,待人工确认,名称关键词
SH,530080,180指基,,待人工确认,名称关键词
SH,530060,上证综E,,待人工确认,名称关键词
SH,530050,SH50ETF,,待人工确认,名称关键词
SH,530000,50ETF基,,待人工确认,名称关键词
SH,526070,恒生博时,,港股/海外,固定类别/排除词
SH,510550,方正500,,待人工确认,名称关键词
SZ,159933,金融地产ETF国投瑞银,,金融,名称关键词
SH,526060,N港信息,,待人工确认,名称关键词
SH,526050,香港信息,,待人工确认,名称关键词
SH,526030,港信息基,,待人工确认,名称关键词
SH,526010,香港医疗,,医药医疗,名称关键词
SH,526000,港股信息,,港股/海外,固定类别/排除词
SH,551510,科债AAA,,债券/货币,固定类别/排除词
SH,551520,科创债汇,,债券/货币,固定类别/排除词
SH,551550,科创AAA,,待人工确认,名称关键词
SH,551560,科创债兴,,债券/货币,固定类别/排除词
SH,560270,电力指数,,公用事业,名称关键词
SZ,159925,沪深300ETF南方,,宽基/综合指数,宽基关键词/人工映射
SH,560260,医疗50,,医药医疗,名称关键词
SH,560250,红利质量,,策略类,固定类别/排除词
SH,560230,光伏富国,,新能源,名称关键词
SH,560220,2000基金,,待人工确认,名称关键词
SH,560210,景顺农牧,,待人工确认,名称关键词
SH,560190,公用事业,,公用事业,名称关键词
SH,560180,ESG300,,待人工确认,名称关键词
SH,560170,央企科技,,区域主题,固定类别/排除词
SH,560160,食品E,,消费,名称关键词
SH,560150,红利TK,,策略类,固定类别/排除词
SZ,159928,消费ETF汇添富,消费,消费,人工映射
SH,560130,食品基金,,消费,名称关键词
SH,520990,国新红利,,策略类,固定类别/排除词
SH,560120,500现金,,债券/货币,固定类别/排除词
SH,560100,增强ETF,,待人工确认,名称关键词
SH,560090,证券指数,,金融,名称关键词
SH,560080,中药ETF,,医药医疗,名称关键词
SH,560070,央企分红,,区域主题,固定类别/排除词
SH,560060,碳中和基,,待人工确认,名称关键词
SH,560050,MSCIA50,,宽基/综合指数,宽基关键词/人工映射
SH,560030,800价值,,策略类,固定类别/排除词
SZ,159929,医药ETF汇添富,,医药医疗,名称关键词
SH,560020,红利添富,,策略类,固定类别/排除词
SH,560010,1000基金,,待人工确认,名称关键词
SH,510530,工银500,,待人工确认,名称关键词
SH,551900,科创债指,,债券/货币,固定类别/排除词
SH,551800,国泰科债,,债券/货币,固定类别/排除词
SH,551580,科创债TK,,债券/货币,固定类别/排除词
SH,560110,ZZ1000,,待人工确认,名称关键词
SH,520980,港科技30,,待人工确认,名称关键词
SH,520970,港股通药,,港股/海外,固定类别/排除词
SH,520960,恒指港通,,待人工确认,名称关键词
SH,520630,互联港股,,港股/海外,固定类别/排除词
SH,520620,港股消费,,港股/海外,固定类别/排除词
SZ,159937,黄金ETF博时,,商品,固定类别/排除词
SH,520610,港红利指,,策略类,固定类别/排除词
SH,520600,汽车港股,,港股/海外,固定类别/排除词
SH,520590,恒科,,待人工确认,名称关键词
SH,520580,新兴亚洲,,待人工确认,名称关键词
SH,520570,科技恒指,,待人工确认,名称关键词
SH,520560,香港30,,待人工确认,名称关键词
SH,520550,红利恒生,,港股/海外,固定类别/排除词
SH,520530,港科ETF,,待人工确认,名称关键词
SH,520520,HK消费,,消费,名称关键词
SH,520510,港股医疗,,港股/海外,固定类别/排除词
SZ,159938,医药ETF广发,,医药医疗,名称关键词
SH,520650,互联网HK,,科技,名称关键词
SH,520500,恒生新药,,港股/海外,固定类别/排除词
SH,518880,黄金ETF,,商品,固定类别/排除词
SH,510570,兴业500,,待人工确认,名称关键词
SH,518860,上海金E,,待人工确认,名称关键词
SH,518850,黄金9999,,商品,固定类别/排除词
SH,518800,黄金基金,,商品,固定类别/排除词
SH,518680,金ETF,,待人工确认,名称关键词
SH,518660,工银黄金,,商品,固定类别/排除词
SH,518600,上海金,,待人工确认,名称关键词
SH,517990,医药基金,,医药医疗,名称关键词
SZ,159939,信息技术ETF广发,,待人工确认,名称关键词
SH,517950,交银科技,,待人工确认,名称关键词
SH,517900,银行优选,,金融,名称关键词
SH,517880,品牌消费,,消费,名称关键词
SH,517850,张江ETF,,待人工确认,名称关键词
SH,518890,中银黄金,,商品,固定类别/排除词
SH,517770,游戏传媒,,科技,名称关键词
SH,520660,港红利CS,,策略类,固定类别/排除词
SH,520680,港股通车,,港股/海外,固定类别/排除词
SH,520950,港股50,,港股/海外,固定类别/排除词
SH,520940,恒指基金,,待人工确认,名称关键词
SZ,159934,黄金ETF易方达,,商品,固定类别/排除词
SH,520930,恒生生科,,港股/海外,固定类别/排除词
SH,520920,恒生科TH,,港股/海外,固定类别/排除词
SH,520910,HK互联,,待人工确认,名称关键词
SH,520900,红利香港,,策略类,固定类别/排除词
SH,520890,港红利,,策略类,固定类别/排除词
SH,520880,港创新药,,医药医疗,名称关键词
SH,520870,巴西ETF,,待人工确认,名称关键词
SH,520860,港股通科,,港股/海外,固定类别/排除词
SH,520850,港医疗,,医药医疗,名称关键词
SH,520840,港科技,,待人工确认,名称关键词
SZ,159935,中证500ETF景顺,,宽基/综合指数,宽基关键词/人工映射
SH,520670,港科基金,,待人工确认,名称关键词
SH,520830,沙特ETF,,港股/海外,固定类别/排除词
SH,520810,港高股息,,待人工确认,名称关键词
SH,520790,港互联网,,科技,名称关键词
SH,520780,港股车50,,港股/海外,固定类别/排除词
SH,520770,港股恒指,,港股/海外,固定类别/排除词
